
"500 650,500 650,500
 650,500 650,450 650,500 650,500
 650,1600 650,1600 650,1600 650,1600
 650,1600 650,1600 650,1600 650,1600
 650,1600 650,500 650,1600 650,500
 650,500 650,500 600,1650 600,500
 650,500 650,1600 650,500 650,1600
 650,1600 650,1600 650,500 650,1600
 650
"
"500 650,500 600,500
 650,500 650,500 650,500 650,500
 600,1600 650,1650 600,1650 650,1600
 650,1600 650,1600 650,1600 650,1600
 650,1600 650,500 650,450 650,1600
 650,500 650,500 650,500 650,500
 650,500 600,1650 600,1650 600,500
 650,1600 650,1600 650,1600 650,1650
 600
"
"500 650,500 650,500
 650,500 650,500 600,500 650,500
 650,1600 650,1600 650,1600 650,1600
 650,1600 650,1600 650,1600 650,1600
 650,1600 650,500 650,1600 650,500
 650,500 650,500 600,1650 600,500
 650,500 650,1600 650,500 650,1600
 650,1600 650,1600 650,500 650,1600
 650
"
"500 650,500 600,500
 650,500 650,500 650,500 650,500
 600,1650 600,1650 600,1650 600,1650
 600,1650 650,1600 650,1600 650,1600
 650,1600 650,500 600,500 650,1600
 650,500 650,500 650,500 650,500
 650,450 650,1600 650,1650 600,500
 650,1600 650,1600 650,1600 650,1600
 650
"
"500 650,450 650,500
 650,500 650,500 650,500 650,500
 600,1650 600,1650 600,1650 650,1600
 650,1600 650,1550 700,1600 650,1600
 650,1550 700,500 600,1650 600,500
 650,500 650,500 650,1600 650,500
 650,500 600,1650 650,450 650,1600
 650,1600 650,1650 600,500 650,1600
 650
"
"500 650,500 650,500
 650,500 650,500 600,500 650,500
 650,1600 650,1600 650,1600 650,1600
 650,1600 650,1600 650,1600 650,1600
 650,1600 650,500 650,500 650,1600
 650,500 650,500 600,500 650,500
 650,500 650,1600 650,1600 650,500
 650,1600 650,1550 700,1600 650,1600
 650
"
"500 600,500 650,500 600,550 600,550 650,500 600,500 650,1600 650,1600 650,1650 600,1600 650,1650 550,1650 600,1700 550,1700 600,1650 550,550 650,1600 650,500 600,550 600,550 600,1650 550,600 550,600 550,1700 550,550 600,1650 600,1650 600,1650 600,550 600,1650 600"
